unique_trial_ID,season,ID,trial,time_at_edge,total_trial_time,percent_time_at_edge,mean_speed,task,mean_speed_at_edge_cm_s,mean_speed_out_edge_cm_s,total_distance_at_edge_cm,total_distance_out_edge_cm
spring_20240520-1_T1,spring,20240520-1,T1,184203.1,918472.533333333,20.0553738206506,3.947729140689765,cue,7.7698108369421774,2.98889950004021,1431.2232425783438,2194.65754218481
spring_20240520-1_T10,spring,20240520-1,T10,29052.1333333333,293930,9.88403134533166,4.823010220437478,cue,18.418297832112117,3.3318621929715335,535.0908443915657,882.5365497016215
spring_20240520-1_T2,spring,20240520-1,T2,107419.766666667,560570,19.1625964048498,3.910684317919701,cue,7.315199213435431,3.1036402764781985,785.7969926274175,1406.4153154688267
spring_20240520-1_T3,spring,20240520-1,T3,374305.966666666,1905492.6,19.6435276981221,2.3285821427574476,cue,4.4803945934300335,1.802561198020647,1677.038429341935,2760.057612174535
spring_20240520-1_T4,spring,20240520-1,T4,81549.5666666667,444706.5,18.3378400510599,4.4630138275291955,cue,9.296205449145148,3.3776850173589352,758.1015260220923,1226.6297326700178
spring_20240520-1_T6,spring,20240520-1,T6,54415.8,264073,20.6063474872478,7.34047544237097,cue,14.819051388063006,5.399436961719765,806.3905365225589,1132.030834970673
spring_20240520-1_T7,spring,20240520-1,T7,31444.2333333333,173827.833333333,18.0892971685585,11.595550160065962,cue,24.939535830834547,8.64864195555148,784.2045838897886,1231.4247767424595
spring_20240520-1_T9,spring,20240520-1,T9,30383.3333333333,166479.333333333,18.2505135772608,6.417080784452303,cue,13.122165734613375,4.920175430370896,398.69513557000306,669.6161953717576
spring_20240520-2_T1,spring,20240520-2,T1,8686.76666666666,61408,14.1459853222164,26.79163742114757,cue,74.88598199526893,18.86723347823922,650.5170521971022,994.7038185607281
spring_20240520-2_T10,spring,20240520-2,T10,170265.733333333,1409900.1,12.0764395529395,1.853293686718192,cue,5.082424374245913,1.4097674992186504,865.3627131921882,1747.5962410411623
spring_20240520-2_T2,spring,20240520-2,T2,37356.2,450233.433333333,8.29707374759597,6.875469516077354,cue,24.68339281971927,5.264248817021675,922.0777588519968,2173.488487150182
spring_20240520-2_T3,spring,20240520-2,T3,11620.5,82918.8333333333,14.0143071638329,16.39087868979605,cue,45.459351316900694,11.653177675327225,528.2603919780445,830.8521462880391
